;microfilm_number;section_last_scan;section_id
4;1;642;122
124;1;680;126
169;3;126;315
157;3;129;317
71;9;466;907
27;17;28;1704
28;40;592;4020
285;85;423;8514
133;85;606;8520
288;90;258;9009
243;91;593;9121
262;102;446;10208
38;129;477;12912
83;133;536;13312
194;141;547;14112
218;144;537;14408
235;145;563;14510
225;147;548;14709
223;148;553;14809
188;150;546;15007
110;152;531;15208
84;153;548;15312
164;154;541;15413
127;155;531;15513
227;157;536;15711
57;158;533;15810
202;161;493;16112
239;165;536;16513
228;168;537;16816
253;172;535;17214
35;173;501;17313
238;174;518;17415
216;175;519;17515
217;176;535;17615
283;177;541;17715
258;179;498;17916
279;180;525;18019
246;184;534;18412
269;185;544;18512
163;186;283;18606
247;187;554;18712
215;189;523;18910
162;190;525;19011
214;192;535;19210
249;206;539;20608
200;207;542;20712
197;209;552;20909
120;210;538;21011
75;213;416;21309
66;214;516;21411
210;215;495;21508
92;217;547;21710
182;218;541;21810
150;219;461;21911
231;221;427;22106
280;228;622;22813
205;236;635;23615
59;245;621;24512
170;263;594;26304
23;271;633;27106
29;275;641;27509
48;278;709;27805
286;289;648;28922
282;293;591;29306
257;296;137;29603
206;305;655;30506
129;326;473;32604
44;330;646;33003
36;360;669;36006
276;363;643;36302
7;371;700;37104
176;373;170;37303